,Family_History_Treatment,Imm_reason_text,Immigration-Treatmen,Partisan priming,Coerced,Family1_vs_NoFamily0,Slavery1_vs_NoSlavery0,Negative-1_Neutral0_Positive1,Native1_vs_NoNative0,Nonsense
105,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
106,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
108,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
109,1,To have a better quality of life,My generation,0,0,0,0,1,0,0
110,1,A better place to live,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
111,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
112,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
113,1,Better life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
114,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
115,1,My grandfather came from Italy to find his parents that left him in Italy as a small child,My great-grandparents' generation,0,0,1,0,0,0,0
119,1,Family,My grandparents' generation,0,0,1,0,0,0,0
120,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
121,1,My great grandpa came here to work on farms while the United States was at war,My great-grandparents' generation,0,0,1,0,0,0,0
122,1,That is one of the dumbest things I ever heard,My parents' generation,0,0,0,0,-1,0,0
124,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
126,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
130,1,Opportunity to own land and their own businesses,My grandparents' generation,0,0,1,0,1,0,0
133,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
136,1,I came for my wife,My generation,0,0,1,0,0,0,0
138,1,For a better opportunity.,My grandparents' generation,0,0,0,0,1,0,0
142,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
144,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
145,1,We belong here,My great-great-grandparents' generation or earlier,0,0,0,0,0,1,0
146,1,WE WERE IRISH WE IMMIGRATED TO WV DURING THE IRISH WAR AND THEN THE REVOLUTIONARY WE SERVED IN IT,My grandparents' generation,0,0,1,0,0,0,0
148,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
150,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
151,1,Good,My parents' generation,0,0,0,0,0,0,1
152,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
158,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
162,1,dvb nngjhfdbgj,My generation,0,0,0,0,0,0,1
164,1,My father came because of the rise of Hilter in Germany,My parents' generation,0,0,1,0,0,0,0
168,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
169,1,For a better life,My great-grandparents' generation,0,0,0,0,1,0,0
171,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
172,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
173,1,To start new,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
174,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
178,1,came from France to Canada to USA for a better life,My great-grandparents' generation,0,0,0,0,1,0,0
182,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
185,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
188,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
189,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
193,1,For a better life,My generation,0,0,0,0,1,0,0
196,1,I am 25% seminole,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
197,1,One half came seeking a better life and more opportunities.  The other half came fleeing from Austria during ww2.,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
198,1,Opportunity for me,My grandparents' generation,0,0,1,0,1,0,0
199,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
201,1,vacationes,My parents' generation,0,0,0,0,0,0,0
203,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
209,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
210,1,For a better life and opportunities then what was offered for them in Mexico and Spain,My great-grandparents' generation,0,0,1,0,1,0,0
212,1,None sure,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
214,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
215,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
217,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
219,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
222,1,for land,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
223,1,My mother believed that our best opportunities were here in America.,My parents' generation,0,0,1,0,1,0,0
227,1,Slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
228,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
229,1,To have the opportunity to make a living kn the US,My great-grandparents' generation,0,0,0,0,1,0,0
231,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
232,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
233,1,Ready for battery life for more Lyft make more money,My parents' generation,0,0,1,0,1,0,0
234,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
235,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
237,1,Start a new life in another country.,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
238,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
240,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
243,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
245,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
246,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
248,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
251,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
252,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
253,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
254,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
255,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
256,1,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
258,1,Because we were enslaved—Deemed inferior and not worthy of our own identity. They had to brand us one...and here I am today..,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
259,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
261,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
262,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
267,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
269,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
273,1,To run from the whites,My great-great-grandparents' generation or earlier,0,0,0,0,-1,0,0
274,1,Ya got to my phone,My grandparents' generation,0,0,0,0,0,0,1
275,1,A few arrived due to adverse economic conditions such as the potato famine in Ireland.  Many arrived due to the possibility of murder by royal cousins.  Some came here to avoid religious persecution.  Some were seeking resources to sell in Europe.,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
281,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
282,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
284,1,They were talking by white people out of there lands and were beat up and had to go through hundreds of years in slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
285,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
287,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
289,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
290,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
292,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
293,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
300,1,To settle here.,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
301,1,NA,NA,na,na,NA,NA,NA,NA,NA
304,1,To find better jobs and schooling for children. Wanted to be free and have a better life.,My great-grandparents' generation,0,0,1,0,1,0,0
306,1,MY FAMILY WAS BORN IN AMERICA,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
307,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
312,1,Running from Romania,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
314,1,NA,My generation,na,na,NA,NA,NA,NA,NA
317,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
318,1,Opportunity,My grandparents' generation,0,0,0,0,1,0,0
320,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
321,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
322,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
325,1,They were in the military,My grandparents' generation,0,0,1,0,0,0,0
328,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
329,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
333,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
334,1,2018,My generation,0,0,0,0,0,0,1
335,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
337,1,My family came to the US as slaves.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
339,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
340,1,Married,My parents' generation,0,0,1,0,0,0,0
342,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
345,1,You can come over and get me a pack of cigarettes and,My generation,0,0,0,0,0,0,1
347,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
348,1,We were always here,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
350,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
351,1,To get s better life,My grandparents' generation,0,0,0,0,1,0,0
357,1,well,My grandparents' generation,0,0,0,0,0,0,1
358,1,Better opportunity,My generation,0,0,0,0,1,0,0
363,1,it is good,My grandparents' generation,0,0,0,0,1,0,0
365,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
366,1,NA,My generation,na,na,NA,NA,NA,NA,NA
368,1,NA,My generation,na,na,NA,NA,NA,NA,NA
369,1,dont now,My parents' generation,0,0,0,0,0,0,0
371,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
372,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
373,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
377,1,My family came here from Germany because it was a poor country in terriosts there wanted a better life,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
382,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
383,1,Pogroms,My grandparents' generation,0,0,0,0,0,0,0
386,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
388,1,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
392,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
394,1,To make a better life for themselves. To have a family.,My grandparents' generation,0,0,1,0,1,0,0
395,1,NA,My generation,na,na,NA,NA,NA,NA,NA
396,1,better opportunity to support their new family,My grandparents' generation,0,0,1,0,1,0,0
397,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
398,1,For a better life,My grandparents' generation,0,0,0,0,1,0,0
403,1,They were born here before the first settler came here,My great-great-grandparents' generation or earlier,0,0,1,0,1,1,0
407,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
408,1,Our family came to the US because of the fur trade.,My great-grandparents' generation,0,0,1,0,0,0,0
409,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
410,1,For a better life.,My parents' generation,0,0,0,0,1,0,0
412,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
413,1,The Free world let the Soviet Union take over their country,My parents' generation,0,0,1,0,-1,0,0
414,1,Looking for better opportunity,My grandparents' generation,0,0,0,0,1,0,0
415,1,NA,My generation,na,na,NA,NA,NA,NA,NA
422,1,Slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
424,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
426,1,1,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,1
429,1,very good and love,My generation,0,0,0,0,1,0,0
430,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
431,1,yes idk what to say about this at all i ll keep tyypeing but u know what to todoo ewogesorrghoer  because its easy,My generation,0,0,0,0,0,0,1
432,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
434,1,War was happening,My great-grandparents' generation,0,0,0,0,-1,0,0
435,1,Better life,My parents' generation,0,0,0,0,1,0,0
436,1,Freedom of religion and money,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
437,1,Religious freedom and a hope for a better life.,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
438,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
440,1,My grandparents came to America for safety reasons..They were from Russia,My grandparents' generation,0,0,1,0,0,0,0
443,1,They came to the United States to better their situations,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
445,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
447,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
448,1,looking for a better life,My parents' generation,0,0,0,0,1,0,0
449,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
452,1,they came here for freedom and in hopes for a better life,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
453,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
454,1,They were brought here as slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
455,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
457,1,Start new lives and have a good chance of getting to middle class,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
458,1,To establish a better life,My grandparents' generation,0,0,0,0,1,0,0
459,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
462,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
464,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
466,1,They've been here,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
467,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
469,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
471,1,Magrated due to wanting a better live for ourselves. I came particular to be with my fiancee who is now my husband,My generation,0,0,1,0,1,0,0
472,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
475,1,To be free,My generation,0,0,0,0,1,0,0
478,1,Because I'm the seventh generation of my family that's been in the United States that I know of,My great-great-grandparents' generation or earlier,0,0,1,0,1,1,0
479,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
480,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
481,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
485,1,Idk really,My parents' generation,0,0,0,0,0,0,0
486,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
487,1,Escaped hundreds of years of persecution and anti semitism.,My grandparents' generation,0,0,1,0,1,0,0
490,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
492,1,For a better life they couldn’t provide for themselves or my siblings .,My parents' generation,0,0,1,0,1,0,0
494,1,They want good lives.they want their childern to to literate,My parents' generation,0,0,1,0,1,0,0
495,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
497,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
498,1,Captured for slavery,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
499,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
500,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
501,1,"Freedom Bc USA is better.
Better jobs.",My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
503,1,My family were Volga Germans who were persecuted in Russia by the new Czar  after the death of Catherine the Great.,My grandparents' generation,0,0,1,0,-1,0,0
504,1,A better Life for children and families,My generation,0,0,1,0,1,0,0
506,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
513,1,they came to america for a better life,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
515,1,job transfer,My generation,0,0,1,0,0,0,0
519,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
520,1,They came to farm in the 1600s,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
521,1,"Better living, more freedom",My great-grandparents' generation,0,0,0,0,1,0,0
523,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
524,1,Sorry I was born in the us,My grandparents' generation,0,0,1,0,0,1,0
526,1,My family was one of many who came during the potato famine,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
529,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
533,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
538,1,Because  God put us here I am Indian,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
545,1,our family bron in us..,My parents' generation,0,0,1,0,0,1,0
546,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
547,1,to live a better life,My grandparents' generation,0,0,0,0,1,0,0
549,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
551,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
552,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
553,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
555,1,To live in peace,My parents' generation,0,0,0,0,1,0,0
558,1,Because it was a better life and more opportunity for my family our home in Mexico was ran by gangs,My parents' generation,0,0,1,0,1,0,0
560,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
561,1,"Seek a job, and to permanently claim legal residence in the US",My grandparents' generation,0,0,1,0,1,0,0
562,1,"There was a way to have a better life here, and the opportunity came to get over here!!",My grandparents' generation,0,0,1,0,1,0,0
565,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
566,1,NA,NA,na,na,NA,NA,NA,NA,NA
567,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
570,1,My family came to the US because they were curious as to what the US had to offer.  They were middle class back in Poland and wanted to take a new step in life.,My great-grandparents' generation,0,0,1,0,1,0,0
572,1,very good,My generation,0,0,0,0,1,0,1
574,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
575,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
576,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
578,1,Military,My parents' generation,0,0,1,0,0,0,0
582,1,they wanted to get a farm stead from the land grant program at the time so they could earn a better living than in the old country,My grandparents' generation,0,0,1,0,1,0,0
584,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
585,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
589,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
590,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
591,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
592,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
594,1,ACTUALLY I'm not sure why,My grandparents' generation,0,0,0,0,0,0,0
595,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
598,1,NA,NA,na,na,NA,NA,NA,NA,NA
600,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
601,1,For work,My parents' generation,0,0,0,0,0,0,0
607,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
608,1,for facilities,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
609,1,to escape communism,My parents' generation,0,0,0,0,1,0,0
610,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
611,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
612,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
613,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
614,1,the irish side due to the famine,My great-grandparents' generation,0,0,1,0,-1,0,0
620,1,A better place from where they were from,My grandparents' generation,0,0,1,0,1,0,0
622,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
623,1,Better education and jobs,My grandparents' generation,0,0,0,0,1,0,0
624,1,To work hard and have better opportunities in life,My generation,0,0,0,0,1,0,0
626,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
627,1,They were slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
628,1,to find a better future and standard of living for their children,My parents' generation,0,0,1,0,1,0,0
632,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
633,1,it's a most beautiful country,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
634,1,Poncho Villa,My grandparents' generation,0,0,0,0,0,0,1
636,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
638,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
641,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
642,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
643,1,work,My generation,0,0,0,0,0,0,0
644,1,My great grandfather left Naples seeking a better and more prosperous life,My great-grandparents' generation,0,0,1,0,1,0,0
645,1,To make a better life,My grandparents' generation,0,0,0,0,1,0,0
647,1,NA,My generation,na,na,NA,NA,NA,NA,NA
649,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
650,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
652,1,Opportunity to better their lives,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
653,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
654,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
655,1,My Maternal Grandfather escaped the Russian cassocks.,My great-grandparents' generation,0,0,1,0,-1,0,0
661,1,too seek a better life of opportunity and freedom financially and religion,My great-grandparents' generation,0,0,0,0,1,0,0
662,1,they came to the US from France and England to create a better life and make more money.,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
664,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
667,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
668,1,to escape the pograms in austria,My grandparents' generation,0,0,1,0,1,0,0
669,1,"The past, present, and future of your family tree are all far more fascinating than ... I visited Nana recently and went through the usual activities—talking about myself in a loud voice, ... I don't know you, but I can almost guarantee that you don't ask your ... How weird is it that to some kid in 2300, I'm one of the",My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
672,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
674,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
